Ticker,Text,replyCount,retweetCount,likeCount,quoteCount,retweetedTweet,quotedTweet,totalMentions
$TSLA,"b""@christiaanhtznr @tkrisher @Tesla If being the world's richest individual is remarkable, then I guess he is remarkable \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f To me there is nothing remarkable about being a con artist. Each their own taste though.\n\nhttps://t.co/ThyAQWWzM4""",2,0,3,0,,https://twitter.com/BS__Exposed/status/1482465346061848583,3
$TSLA,b'@garyblack00 $TSLA gaining share of a growing-pie',1,1,1,0,,,1
$TSLA,b'Imma ask y\xe2\x80\x99all one time back off or else @Tesla @elonmusk imma do me. Pussy hole ass \xf0\x9f\x87\xaf\xf0\x9f\x87\xb5',0,0,0,0,,,2
$TSLA,"b'Our newest episode is out everywhere \xf0\x9f\x8e\x8a! We talk about the @Spotify and @JoeRogan controversy, @Discord finally getting on @PlayStation, Wordle and @nytimes, and @Tesla\xe2\x80\x98s new bizarre feature!\n\n#Spotify #JoeRogan #Wordle #Tesla #Discord #Playstation\nhttps://t.co/yy6Uwx8r1U'",0,1,2,0,,,6
$NVDA,b'All #DarkPool today filled within half an hour of trading. \n$SPY $QQQ $IWM $FB $MSFT $NVDA $TSLA \n#StockMarket #stocks #trading #tradingstrategy #cheatcodes\n\nhttps://t.co/tUH5cp8nE7 https://t.co/2lBoEjcdT9',0,2,3,0,,,0
$NVDA,"b'$NVDA failed to hold 250 at open but held above 240, closed at 246.3. Jumped up 12pts afterhours with $AMD beating earning \n\nIf $NVDA hold 259 into the open we can see a move up to 263, 267 then 270-272 key lvl\n\nIf $NVDA fails to hold 259 into open we can see a drop to 256, 253 https://t.co/o4OSKwAplC'",0,0,1,0,,,0
$NVDA,b'Large cap stocks with the most shares traded today\n\nAT&amp;T $T 129.6M shares\n$AMD 118.1M\nFord $F 115.7M\n$SOFI 87.1M\nApple $AAPL 85.7M\n$NIO 81.6M\nPalantir $PLTR 68.8M\nExxon $XOM 60.3M\nNvidia $NVDA 51.3M\nPG&amp;E $PCG 51M\nSirius XM $SIRI 50.4M\nMicrosoft $MSFT 40.7M\n$BAC 38.9M\n$LCID 38.4M',1,4,20,0,,,0
$NVDA,b'Top tweeted stocks:\n$AMD $UPS $NFLX $TSLA $BROS $SPX $XOM $AAPL $AMZN $PYPL $MSFT $NVDA $CF $ES $ZIM $DWAC $OXY $PXD $SBUX $UPST $DAC $HOOD $TRGP $AFRM $SQ $V $GOOG $FB $GSL $AMC $MOS $SHOP $NIO $SNOW $SPOT $DVN $COP $EOG $BAC $ARCH $MATX $DSKE $BA $CAT \n\n #stockstowatch https://t.co/cdxnCqQMoY',0,1,3,0,,,0
$NVDA,b'$NVDA \n\nHow do these look? https://t.co/LLpayqqYI0',0,1,9,0,,,0
$NVDA,b'Bullish:\n$nvax \xe2\x9c\x85 (W)\n$ups \xe2\x9c\x85 (W) \n$amd \xe2\x9c\x85 (W)\n$nvda \xe2\x9c\x85 (W) \n$fb \xe2\x9c\x85 (W)\n\nBearish: \n$pypl \xf0\x9f\xa9\xb8\xf0\x9f\x94\x92 \n$enph didn\xe2\x80\x99t touch\n$rivn early \xf0\x9f\x98\x9e (L) https://t.co/lgd11ZpTKj',0,0,1,0,,https://twitter.com/AlphaAcquirers/status/1488515759492018179,0
